key,scenario_id,family,method,budget,model_key,model,selected_turn_ids,context_tokens,build_latency_s,summarized_turn_ids,stale_superseder_missing,context_precision,context_recall,context_f1,context_sufficiency,irrelevant_context_ratio,n_selected,n_evidence,n_distractors_selected,selected_turn_tokens,model_reported,input_tokens,output_tokens,answer_latency_s,stop_reason,usd,ts,checklist_score,all_required_satisfied,distractor_leakage,judge_model,judge_input_tokens,judge_output_tokens,method_label
two_branch_join_006|oracle_dag|-|us.anthropic.claude-sonnet-4-6,two_branch_join_006,two_branch_join,oracle_dag,,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2', 't3', 't4', 't7', 't8']",753,0.0009,[],[],1.0,1.0,1.0,1,0.0,6,6,0,753,claude-sonnet-4-6,951,257,6.343,end_turn,0.006708,1789265901.12171,1.0,1,0,us.anthropic.claude-opus-4-6-v1,1132,245,oracle_dag
two_branch_join_006|full_history|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,two_branch_join_006,two_branch_join,full_history,,response_b,us.anthropic.claude-haiku-4-5-20251001-v1:0,"['t1', 't2', 't3', 't4', 't5', 't6', 't7', 't8']",1033,0.0012,[],[],0.75,1.0,0.8571428571428571,1,0.271055179090029,8,6,2,1033,anthropic.claude-haiku-4-5-20251001-v1:0,1258,206,3.152,end_turn,0.002288,1789265904.2762089,1.0,1,0,us.anthropic.claude-opus-4-6-v1,1081,238,full_history
two_branch_join_006|sliding_window|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,two_branch_join_006,two_branch_join,sliding_window,1024.0,response_b,us.anthropic.claude-haiku-4-5-20251001-v1:0,"['t2', 't3', 't4', 't5', 't6', 't7', 't8']",890,0.0016,[],[],0.7142857142857143,0.8333333333333334,0.7692307692307692,0,0.3146067415730337,7,6,2,890,anthropic.claude-haiku-4-5-20251001-v1:0,1106,200,2.549,end_turn,0.002106,1789265906.828681,0.75,0,0,us.anthropic.claude-opus-4-6-v1,1075,269,sliding_window@1024
two_branch_join_006|rolling_summary|1024|us.anthropic.claude-sonnet-4-6,two_branch_join_006,two_branch_join,rolling_summary,1024.0,response_a,us.anthropic.claude-sonnet-4-6,"['t2', 't3', 't4', 't5', 't6', 't7', 't8']",1011,5.4032,['t1'],[],0.7142857142857143,0.8333333333333334,0.7692307692307692,0,0.3146067415730337,7,6,2,890,claude-sonnet-4-6,1245,259,6.864,end_turn,0.00762,1789265907.7209868,1.0,1,0,us.anthropic.claude-opus-4-6-v1,1134,271,rolling_summary@1024
two_branch_join_006|sliding_window|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,two_branch_join_006,two_branch_join,sliding_window,2048.0,response_b,us.anthropic.claude-haiku-4-5-20251001-v1:0,"['t1', 't2', 't3', 't4', 't5', 't6', 't7', 't8']",1033,0.0018,[],[],0.75,1.0,0.8571428571428571,1,0.271055179090029,8,6,2,1033,anthropic.claude-haiku-4-5-20251001-v1:0,1258,206,3.18,end_turn,0.002288,1789265910.011568,1.0,1,0,us.anthropic.claude-opus-4-6-v1,1081,238,sliding_window@2048
two_branch_join_006|rolling_summary|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,two_branch_join_006,two_branch_join,rolling_summary,1024.0,response_b,us.anthropic.claude-haiku-4-5-20251001-v1:0,"['t2', 't3', 't4', 't5', 't6', 't7', 't8']",1008,1.5994,['t1'],[],0.7142857142857143,0.8333333333333334,0.7692307692307692,0,0.3146067415730337,7,6,2,890,anthropic.claude-haiku-4-5-20251001-v1:0,1241,240,3.309,end_turn,0.002441,1789265912.631304,1.0,1,0,us.anthropic.claude-opus-4-6-v1,1115,245,rolling_summary@1024
two_branch_join_006|rolling_summary|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,two_branch_join_006,two_branch_join,rolling_summary,2048.0,response_b,us.anthropic.claude-haiku-4-5-20251001-v1:0,"['t1', 't2', 't3', 't4', 't5', 't6', 't7', 't8']",1033,0.0017,[],[],0.75,1.0,0.8571428571428571,1,0.271055179090029,8,6,2,1033,anthropic.claude-haiku-4-5-20251001-v1:0,1258,206,3.08,end_turn,0.002288,1789265913.095212,1.0,1,0,us.anthropic.claude-opus-4-6-v1,1081,238,rolling_summary@2048
two_branch_join_006|semantic_retrieval|2048|us.anthropic.claude-sonnet-4-6,two_branch_join_006,two_branch_join,semantic_retrieval,2048.0,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2', 't3', 't4', 't5', 't6', 't7', 't8']",1033,0.0016,[],[],0.75,1.0,0.8571428571428571,1,0.271055179090029,8,6,2,1033,claude-sonnet-4-6,1259,260,5.844,end_turn,0.007677,1789265914.5672488,1.0,1,0,us.anthropic.claude-opus-4-6-v1,1135,247,semantic_retrieval@2048
two_branch_join_006|semantic_retrieval|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,two_branch_join_006,two_branch_join,semantic_retrieval,2048.0,response_b,us.anthropic.claude-haiku-4-5-20251001-v1:0,"['t1', 't2', 't3', 't4', 't5', 't6', 't7', 't8']",1033,0.0012,[],[],0.75,1.0,0.8571428571428571,1,0.271055179090029,8,6,2,1033,anthropic.claude-haiku-4-5-20251001-v1:0,1258,206,4.007,end_turn,0.002288,1789265917.104636,1.0,1,0,global.anthropic.claude-opus-4-6-v1,1081,238,semantic_retrieval@2048
two_branch_join_006|oracle_tree|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,two_branch_join_006,two_branch_join,oracle_tree,,response_b,us.anthropic.claude-haiku-4-5-20251001-v1:0,"['t1', 't4']",277,0.0007,[],[],1.0,0.3333333333333333,0.5,0,0.0,2,6,0,277,anthropic.claude-haiku-4-5-20251001-v1:0,429,181,6.874,end_turn,0.001334,1789265921.442898,0.5,0,0,us.anthropic.claude-opus-4-6-v1,1056,262,oracle_tree
