family,model_key,method_label,checklist_score,context_recall,context_tokens,distractor_leakage
new_root,response_a,oracle_dag,0.917,1.0,0.0,0.0
new_root,response_a,oracle_tree,0.917,1.0,0.0,0.0
new_root,response_a,rolling_summary@1024,0.823,1.0,943.0,0.625
new_root,response_a,rolling_summary@2048,0.771,1.0,939.875,0.625
new_root,response_a,semantic_retrieval@1024,0.812,1.0,858.0,0.75
new_root,response_a,semantic_retrieval@2048,0.885,1.0,939.875,0.5
new_root,response_a,sliding_window@1024,0.771,1.0,862.25,0.75
new_root,response_a,sliding_window@2048,0.771,1.0,939.875,0.5
new_root,response_b,full_history,0.354,1.0,939.875,0.625
new_root,response_b,oracle_dag,0.875,1.0,0.0,0.0
new_root,response_b,oracle_tree,0.875,1.0,0.0,0.0
new_root,response_b,rolling_summary@1024,0.385,1.0,936.375,0.75
new_root,response_b,rolling_summary@2048,0.354,1.0,939.875,0.625
new_root,response_b,semantic_retrieval@1024,0.354,1.0,858.0,0.625
new_root,response_b,semantic_retrieval@2048,0.354,1.0,939.875,0.625
new_root,response_b,sliding_window@1024,0.354,1.0,862.25,0.5
new_root,response_b,sliding_window@2048,0.354,1.0,939.875,0.625
resume,response_a,full_history,0.911,1.0,1039.0,0.0
resume,response_a,oracle_dag,0.867,1.0,418.533,0.067
resume,response_a,oracle_tree,0.867,1.0,418.533,0.067
resume,response_a,rolling_summary@1024,0.911,0.733,971.0,0.0
resume,response_a,rolling_summary@2048,0.95,1.0,1039.0,0.0
resume,response_a,semantic_retrieval@1024,0.95,1.0,914.0,0.0
resume,response_a,semantic_retrieval@2048,0.906,1.0,1039.0,0.0
resume,response_a,sliding_window@1024,0.822,0.733,899.4,0.0
resume,response_a,sliding_window@2048,0.911,1.0,1039.0,0.0
resume,response_b,full_history,0.906,1.0,1039.0,0.067
resume,response_b,oracle_dag,0.856,1.0,418.533,0.0
resume,response_b,oracle_tree,0.856,1.0,418.533,0.0
resume,response_b,rolling_summary@1024,0.872,0.733,962.267,0.0
resume,response_b,rolling_summary@2048,0.906,1.0,1039.0,0.0
resume,response_b,semantic_retrieval@1024,0.883,1.0,914.0,0.0
resume,response_b,semantic_retrieval@2048,0.883,1.0,1039.0,0.067
resume,response_b,sliding_window@1024,0.778,0.733,899.4,0.067
resume,response_b,sliding_window@2048,0.861,1.0,1039.0,0.067
semantic_decoy,response_a,full_history,0.875,1.0,1017.167,0.25
semantic_decoy,response_a,oracle_dag,0.854,1.0,519.333,0.0
semantic_decoy,response_a,oracle_tree,0.917,1.0,519.333,0.0
semantic_decoy,response_a,rolling_summary@1024,0.854,0.806,973.417,0.167
semantic_decoy,response_a,rolling_summary@2048,0.875,1.0,1017.167,0.167
semantic_decoy,response_a,semantic_retrieval@1024,0.854,1.0,871.0,0.167
semantic_decoy,response_a,semantic_retrieval@2048,0.917,1.0,1017.167,0.25
semantic_decoy,response_a,sliding_window@1024,0.917,0.806,866.0,0.083
semantic_decoy,response_a,sliding_window@2048,0.833,1.0,1017.167,0.25
semantic_decoy,response_b,full_history,0.806,1.0,1017.167,0.083
semantic_decoy,response_b,oracle_dag,0.806,1.0,519.333,0.0
semantic_decoy,response_b,oracle_tree,0.806,1.0,519.333,0.0
semantic_decoy,response_b,rolling_summary@1024,0.826,0.806,959.917,0.083
semantic_decoy,response_b,rolling_summary@2048,0.806,1.0,1017.167,0.083
semantic_decoy,response_b,semantic_retrieval@1024,0.806,1.0,871.0,0.083
semantic_decoy,response_b,semantic_retrieval@2048,0.806,1.0,1017.167,0.083
semantic_decoy,response_b,sliding_window@1024,0.826,0.806,866.0,0.083
semantic_decoy,response_b,sliding_window@2048,0.806,1.0,1017.167,0.083
three_way_join,response_a,full_history,0.625,1.0,914.375,0.0
three_way_join,response_a,oracle_dag,0.688,1.0,725.125,0.0
three_way_join,response_a,oracle_tree,0.438,0.295,213.875,0.0
three_way_join,response_a,rolling_summary@1024,0.688,0.957,907.25,0.0
three_way_join,response_a,rolling_summary@2048,0.594,1.0,914.375,0.0
three_way_join,response_a,semantic_retrieval@1024,0.625,0.97,873.875,0.0
three_way_join,response_a,semantic_retrieval@2048,0.656,1.0,914.375,0.0
three_way_join,response_a,sliding_window@1024,0.594,0.957,878.0,0.0
three_way_join,response_a,sliding_window@2048,0.719,1.0,914.375,0.0
three_way_join,response_b,full_history,0.875,1.0,914.375,0.0
three_way_join,response_b,oracle_dag,0.875,1.0,725.125,0.0
three_way_join,response_b,oracle_tree,0.375,0.295,213.875,0.0
three_way_join,response_b,rolling_summary@1024,0.875,0.957,907.875,0.0
three_way_join,response_b,rolling_summary@2048,0.875,1.0,914.375,0.0
three_way_join,response_b,semantic_retrieval@1024,0.875,0.97,873.875,0.0
three_way_join,response_b,semantic_retrieval@2048,0.875,1.0,914.375,0.0
three_way_join,response_b,sliding_window@1024,0.844,0.957,878.0,0.0
three_way_join,response_b,sliding_window@2048,0.875,1.0,914.375,0.0
topic_fork,response_a,full_history,0.775,1.0,1100.6,0.2
topic_fork,response_a,oracle_dag,0.9,1.0,759.0,0.0
topic_fork,response_a,oracle_tree,0.9,1.0,759.0,0.0
topic_fork,response_a,rolling_summary@1024,0.8,0.775,1040.3,0.2
topic_fork,response_a,rolling_summary@2048,0.85,1.0,1100.6,0.0
topic_fork,response_a,semantic_retrieval@1024,0.8,0.955,951.2,0.0
topic_fork,response_a,semantic_retrieval@2048,0.875,1.0,1100.6,0.0
topic_fork,response_a,sliding_window@1024,0.775,0.775,919.2,0.4
topic_fork,response_a,sliding_window@2048,0.85,1.0,1100.6,0.0
topic_fork,response_b,full_history,0.775,1.0,1100.6,0.1
topic_fork,response_b,oracle_dag,0.825,1.0,759.0,0.0
topic_fork,response_b,oracle_tree,0.825,1.0,759.0,0.0
topic_fork,response_b,rolling_summary@1024,0.875,0.775,1024.1,0.1
topic_fork,response_b,rolling_summary@2048,0.775,1.0,1100.6,0.1
topic_fork,response_b,semantic_retrieval@1024,0.775,0.955,951.2,0.0
topic_fork,response_b,semantic_retrieval@2048,0.775,1.0,1100.6,0.1
topic_fork,response_b,sliding_window@1024,0.8,0.775,919.2,0.0
topic_fork,response_b,sliding_window@2048,0.775,1.0,1100.6,0.1
two_branch_join,response_a,full_history,0.967,1.0,880.267,0.067
two_branch_join,response_a,oracle_dag,0.95,1.0,681.733,0.0
two_branch_join,response_a,oracle_tree,0.408,0.453,314.6,0.0
two_branch_join,response_a,rolling_summary@1024,0.923,0.969,881.6,0.067
two_branch_join,response_a,rolling_summary@2048,0.94,1.0,880.267,0.067
two_branch_join,response_a,semantic_retrieval@1024,0.983,1.0,855.4,0.0
two_branch_join,response_a,semantic_retrieval@2048,0.967,1.0,880.267,0.067
two_branch_join,response_a,sliding_window@1024,0.923,0.969,854.4,0.067
two_branch_join,response_a,sliding_window@2048,0.923,1.0,880.267,0.067
two_branch_join,response_b,full_history,0.884,1.0,880.267,0.0
two_branch_join,response_b,oracle_dag,0.876,1.0,681.733,0.0
two_branch_join,response_b,oracle_tree,0.399,0.453,314.6,0.0
two_branch_join,response_b,rolling_summary@1024,0.868,0.969,878.733,0.0
two_branch_join,response_b,rolling_summary@2048,0.862,1.0,880.267,0.0
two_branch_join,response_b,semantic_retrieval@1024,0.851,1.0,855.4,0.0
two_branch_join,response_b,semantic_retrieval@2048,0.862,1.0,880.267,0.0
two_branch_join,response_b,sliding_window@1024,0.868,0.969,854.4,0.0
two_branch_join,response_b,sliding_window@2048,0.862,1.0,880.267,0.0
