key,scenario_id,family,model_key,method_label,context_tokens,context_precision,irrelevant_context_ratio,output_tokens,checklist_opus,leakage_opus,checklist_llama,leakage_llama
semantic_decoy_010|sliding_window|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,semantic_decoy_010,semantic_decoy,response_b,sliding_window@2048,1123,0.5,0.4772929652715939,290,1.0,0.0,1.0,0.0
semantic_decoy_010|rolling_summary|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,semantic_decoy_010,semantic_decoy,response_b,rolling_summary@1024,1082,0.4,0.5720384204909285,285,1.0,0.0,1.0,0.0
semantic_decoy_010|oracle_tree|-|us.anthropic.claude-sonnet-4-6,semantic_decoy_010,semantic_decoy,response_a,oracle_tree,587,1.0,0.0,344,1.0,0.0,0.75,0.0
semantic_decoy_010|rolling_summary|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,semantic_decoy_010,semantic_decoy,response_b,rolling_summary@2048,1123,0.5,0.4772929652715939,290,1.0,0.0,1.0,0.0
semantic_decoy_010|semantic_retrieval|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,semantic_decoy_010,semantic_decoy,response_b,semantic_retrieval@1024,932,0.6,0.3701716738197425,209,1.0,0.0,1.0,0.0
semantic_decoy_010|semantic_retrieval|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,semantic_decoy_010,semantic_decoy,response_b,semantic_retrieval@2048,1123,0.5,0.4772929652715939,290,1.0,0.0,1.0,0.0
semantic_decoy_010|oracle_dag|-|us.anthropic.claude-sonnet-4-6,semantic_decoy_010,semantic_decoy,response_a,oracle_dag,587,1.0,0.0,315,1.0,0.0,1.0,0.0
semantic_decoy_011|full_history|-|us.anthropic.claude-sonnet-4-6,semantic_decoy_011,semantic_decoy,response_a,full_history,477,0.5,0.4591194968553459,58,1.0,0.0,1.0,0.0
semantic_decoy_011|sliding_window|2048|us.anthropic.claude-sonnet-4-6,semantic_decoy_011,semantic_decoy,response_a,sliding_window@2048,477,0.5,0.4591194968553459,58,1.0,0.0,1.0,0.0
semantic_decoy_010|oracle_dag|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,semantic_decoy_010,semantic_decoy,response_b,oracle_dag,587,1.0,0.0,279,0.5,0.0,0.75,0.0
semantic_decoy_011|rolling_summary|2048|us.anthropic.claude-sonnet-4-6,semantic_decoy_011,semantic_decoy,response_a,rolling_summary@2048,477,0.5,0.4591194968553459,58,1.0,0.0,1.0,0.0
semantic_decoy_010|oracle_tree|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,semantic_decoy_010,semantic_decoy,response_b,oracle_tree,587,1.0,0.0,279,0.5,0.0,0.75,0.0
semantic_decoy_011|semantic_retrieval|1024|us.anthropic.claude-sonnet-4-6,semantic_decoy_011,semantic_decoy,response_a,semantic_retrieval@1024,477,0.5,0.4591194968553459,58,1.0,0.0,1.0,0.0
semantic_decoy_011|oracle_tree|-|us.anthropic.claude-sonnet-4-6,semantic_decoy_011,semantic_decoy,response_a,oracle_tree,258,1.0,0.0,58,1.0,0.0,1.0,0.0
semantic_decoy_011|semantic_retrieval|2048|us.anthropic.claude-sonnet-4-6,semantic_decoy_011,semantic_decoy,response_a,semantic_retrieval@2048,477,0.5,0.4591194968553459,58,1.0,0.0,1.0,0.0
semantic_decoy_011|full_history|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,semantic_decoy_011,semantic_decoy,response_b,full_history,477,0.5,0.4591194968553459,66,1.0,0.0,1.0,0.0
semantic_decoy_011|sliding_window|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,semantic_decoy_011,semantic_decoy,response_b,sliding_window@1024,477,0.5,0.4591194968553459,66,1.0,0.0,1.0,0.0
semantic_decoy_011|sliding_window|2048|us.anthropic.claude-haiku-4-5-20251001-v1:0,semantic_decoy_011,semantic_decoy,response_b,sliding_window@2048,477,0.5,0.4591194968553459,66,1.0,0.0,1.0,0.0
