model,judge,a,b,n,families,q_diff,q_ci_low,q_ci_high,p_noninferior,noninferior_ci,tok_diff,tok_diff_ci_low,tok_diff_ci_high,tok_ratio,tok_ratio_ci_low,tok_ratio_ci_high,confirmatory,direction,p_holm,noninferior_holm
response_b,opus,candidate_oracle@10,rolling_summary@1024,145,all,0.0276,-0.0132,0.0695,0.003,True,-479.0828,-542.4972,-411.8871,0.5149,0.4577,0.5795,False,reference_vs_baseline,,
response_b,opus,candidate_oracle@10,rolling_summary@2048,145,all,0.0299,-0.0103,0.0707,0.0018,True,-726.0276,-837.619,-617.0129,0.4119,0.3593,0.4721,False,reference_vs_baseline,,
response_b,opus,candidate_oracle@10,full_history,145,all,0.0293,-0.0115,0.0701,0.0021,True,-999.2207,-1216.5659,-794.5676,0.3373,0.2816,0.4053,False,reference_vs_baseline,,
response_b,opus,candidate_oracle@10,sliding_window@1024,145,all,0.2149,0.15,0.2793,0.0,True,-375.7517,-432.1122,-314.2274,0.5751,0.5129,0.6448,False,reference_vs_baseline,,
response_b,opus,candidate_oracle@10,sliding_window@2048,145,all,0.1724,0.1115,0.2379,0.0,True,-674.9931,-775.1486,-579.8536,0.4297,0.3761,0.4877,False,reference_vs_baseline,,
response_b,opus,candidate_oracle@5,semantic_retrieval@1024,145,all,0.0385,0.0011,0.0759,0.0003,True,155.7862,22.54,298.5843,1.1744,1.0251,1.3318,False,reference_vs_baseline,,
response_b,opus,candidate_oracle@5,semantic_retrieval@2048,145,all,0.0241,-0.0092,0.058,0.0003,True,-138.8897,-253.1245,-23.4871,0.8831,0.7853,0.9803,False,reference_vs_baseline,,
response_b,opus,candidate_oracle@5,rolling_summary@1024,145,all,0.0305,-0.0046,0.0661,0.0005,True,61.3724,-65.8759,196.3847,1.0621,0.9333,1.1967,False,reference_vs_baseline,,
response_b,opus,candidate_oracle@5,rolling_summary@2048,145,all,0.0328,0.0006,0.0661,0.0001,True,-185.5724,-300.6421,-69.1066,0.8497,0.7577,0.9441,False,reference_vs_baseline,,
response_b,opus,candidate_oracle@5,full_history,145,all,0.0322,0.0029,0.0638,0.0,True,-458.7655,-661.4807,-280.35,0.6957,0.5967,0.7993,False,reference_vs_baseline,,
response_b,opus,candidate_oracle@5,sliding_window@1024,145,all,0.2178,0.1586,0.2776,0.0,True,164.7034,36.194,308.4614,1.1863,1.0409,1.3471,False,reference_vs_baseline,,
response_b,opus,candidate_oracle@5,sliding_window@2048,145,all,0.1753,0.1195,0.2345,0.0,True,-134.5379,-248.2981,-16.9093,0.8863,0.7896,0.9858,False,reference_vs_baseline,,
response_b,opus,oracle_dag,semantic_retrieval@1024,145,all,0.0324,-0.0075,0.0753,0.0017,True,-422.2966,-463.7314,-380.9102,0.5272,0.4835,0.5714,False,reference_vs_baseline,,
response_b,opus,oracle_dag,semantic_retrieval@2048,145,all,0.018,-0.0213,0.0585,0.008,True,-716.9724,-814.3671,-623.5929,0.3964,0.3518,0.4452,False,reference_vs_baseline,,
